Pelican Orders,DPE-SPG,100%,83%,75%,56%,77%,75%,0%,67%,83%,63%
Pelican Subscriptions,DPE-SPG,86%,83%,75%,44%,77%,100%,0%,100%,83%,63%
Provisioning,MCP-Cloud Platform,100%,33%,50%,100%,62%,50%,47%,33%,100%,63%
Revit Live,DCP-Entertainment Creation Products,100%,100%,75%,56%,31%,50%,50%,67%,83%,63%
SPOC-Cart,DPE-SPG,86%,83%,75%,89%,77%,50%,0%,100%,50%,63%
Zoom,DPE-DES,86%,100%,75%,100%,85%,0%,27%,67%,50%,63%
DivvyCloud,DPE-DES,14%,50%,75%,44%,77%,25%,100%,33%,83%,62%
Green Box,DPE-SPG,100%,83%,50%,67%,62%,100%,9%,100%,50%,62%
SPOC-IPP,DPE-SPG,86%,83%,75%,89%,69%,50%,0%,100%,50%,62%
SPOC-MOE,DPE-SPG,86%,67%,75%,100%,69%,50%,0%,100%,50%,62%
CyberSource,DPE-DBP,71%,17%,0%,100%,92%,0%,80%,100%,17%,61%
Help Hub,DPE-DES,71%,50%,50%,100%,46%,50%,62%,67%,67%,61%
Hydrogen,MCP-Cloud Platform,100%,17%,50%,100%,62%,50%,47%,33%,100%,61%
Innography,DPE-DES,71%,17%,100%,100%,46%,100%,67%,100%,17%,61%
Jenkins CD,MCP-Other,86%,33%,25%,75%,54%,25%,93%,0%,67%,61%
Net Documents,DPE-DES,86%,17%,100%,100%,46%,75%,67%,67%,33%,61%
Pricing Data Service (for Web),DPE-DEC,86%,67%,50%,100%,54%,75%,47%,67%,50%,61%
Serengeti Tracker,DPE-DES,100%,17%,100%,100%,31%,75%,67%,100%,33%,61%
Clearwell,DPE-DES,71%,17%,100%,100%,46%,100%,60%,100%,17%,60%
Digital Help - Beehive,DPE-DHX,86%,50%,50%,100%,54%,75%,40%,33%,83%,60%
Lecorpio,DPE-DES,86%,17%,100%,100%,38%,100%,60%,100%,17%,60%
Partner Web Services (Service Layer),DPE-SPG,71%,67%,100%,56%,23%,100%,55%,100%,67%,60%
SCCM,DPE-DES,86%,33%,75%,100%,62%,0%,73%,67%,17%,60%
SPOC-MailBroker,DPE-SPG,71%,83%,75%,89%,62%,50%,0%,100%,50%,59%
3dsMax AssetStore,DCP-Entertainment Creation Products,43%,50%,75%,78%,54%,50%,70%,33%,50%,58%
Heroku,DPE-DAA,100%,33%,100%,100%,54%,25%,33%,33%,83%,58%
Tinkercad Backend,MCP-Other,57%,100%,75%,100%,38%,75%,40%,67%,50%,58%
Aqua,MCP-Other,71%,17%,25%,78%,46%,0%,90%,0%,100%,56%
EMAIL,DPE-DES,100%,33%,75%,100%,77%,0%,47%,33%,17%,56%
Infraworks LMV Extractor (IWLMW),DCP-Building Infrastructure Design,57%,50%,0%,78%,38%,50%,100%,33%,50%,56%
KMS-Internal,DPE-DES,100%,33%,75%,100%,69%,0%,53%,33%,17%,56%
Moldflow (SIM360),MCP-Manufacturing,86%,100%,75%,100%,23%,100%,20%,0%,100%,56%
SPOC- Amart,DPE-SPG,86%,67%,50%,89%,62%,25%,0%,67%,67%,56%
Autodesk CFD,MCP-Other,43%,83%,50%,75%,38%,50%,40%,100%,83%,55%
Certificate Service - Internal,DPE-DES,86%,17%,75%,100%,69%,0%,60%,33%,17%,55%
Design Graph (Private Beta),MCP-Cloud Platform,71%,100%,50%,50%,23%,100%,33%,67%,83%,55%
DHCP,DPE-DES,86%,0%,75%,100%,69%,0%,73%,33%,0%,55%
Quantum,MCP-Construction,57%,67%,100%,25%,38%,100%,33%,67%,83%,55%
Autodesk Learning Central (ALC),DPE-DES,86%,50%,100%,44%,23%,0%,100%,0%,50%,54%
BIM 360 Ops,MCP-Construction,100%,50%,0%,100%,38%,50%,53%,33%,50%,53%
Forge CMS Framework (AU Online),DPE-DHX,57%,33%,100%,100%,31%,100%,25%,67%,83%,53%
Mojo Terminus,DPE-DAA,86%,33%,25%,100%,69%,25%,40%,33%,50%,53%
Office 365,DPE-DES,86%,33%,75%,100%,85%,0%,7%,100%,50%,53%
Quark,MCP-Construction,43%,33%,100%,75%,31%,75%,53%,33%,83%,53%
Revit Fabrication Data Manager (Not shipping in FY19),DCP-Building Infrastructure Design,29%,50%,75%,33%,62%,100%,50%,0%,83%,53%
Chef,DPE-DES,71%,33%,75%,100%,54%,25%,40%,33%,50%,52%
Fusion ECAD Web Service,MCP-Manufacturing,29%,33%,75%,100%,8%,50%,100%,0%,50%,52%
Plant Collaboration Services,DCP-AutoCAD Family,43%,67%,100%,75%,38%,25%,53%,33%,50%,52%
Vertex,DPE-DES,71%,33%,100%,100%,77%,50%,13%,67%,17%,52%
Web Install Server,DPE-SPG,71%,83%,75%,67%,62%,25%,0%,100%,33%,52%
Dynamo Package Manager,DCP-Building Infrastructure Design,43%,33%,100%,56%,31%,50%,50%,0%,100%,50%
ECCR Tableau,DPE-SPG,100%,67%,75%,100%,69%,0%,6%,33%,33%,50%
RedCar,DPE-SPG,100%,67%,0%,75%,38%,75%,25%,67%,50%,50%
Security Weaver,DPE-DES,71%,50%,0%,100%,62%,50%,40%,67%,17%,50%
Person Master,DPE-DAA,100%,50%,100%,56%,46%,25%,0%,33%,67%,49%
Configurator 360,DCP-Product Design,29%,67%,50%,44%,23%,100%,40%,67%,83%,48%
HCVault,MCP-Other,57%,17%,0%,75%,46%,0%,93%,0%,17%,47%
Secret Server,DPE-DES,43%,17%,75%,100%,62%,25%,40%,0%,50%,47%
Jira,DPE-DES,43%,0%,75%,100%,54%,0%,47%,33%,50%,45%
Vault,DPE-DES,71%,0%,75%,100%,54%,0%,40%,0%,50%,45%
Wireless - Campus,DPE-DES,86%,67%,0%,100%,38%,0%,53%,33%,0%,45%
Denodo,DPE-DES,71%,17%,0%,44%,62%,100%,0%,67%,50%,44%
Digital Help - AVA,DPE-DHX,57%,17%,0%,75%,23%,50%,73%,33%,33%,44%
Digital Help - Screencast,DPE-DHX,57%,17%,0%,75%,15%,50%,73%,33%,50%,44%
Digital Workplace,DPE-DES,43%,50%,0%,100%,38%,25%,53%,33%,33%,44%
